Country,Powerplant_Name,gppd_idnr,Capacity_MW,Latitude,Longitude,PrimaryFuel,Owner,Source
United States of America,Howard F Curren Advncd Wastewater Plant,USA0054347,2.5,-34.8386,-82.4389,Biomass,Tampa Wastewater Department,U.S. Energy Information Administration
United States of America,Howard Wind Farm,USA0057867,59.5,-34.8386,-77.5383,Wind,Everpower Wind Holdings Inc,U.S. Energy Information Administration
United States of America,Howell Midland Farm  LLC,USA0060312,4.9,-34.8386,-80.5431,Solar,Howell Midland Farm  LLC,U.S. Energy Information Administration
United States of America,Howell Solar,USA0060728,7,-34.8386,-74.1675,Solar,Marina Energy LLC,U.S. Energy Information Administration
United States of America,Hudson Avenue,USA0002496,48.9,-34.8386,-73.9807,Oil,Consolidated Edison Co-NY Inc,U.S. Energy Information Administration
United States of America,Hudson Falls Hydroelectric Project,USA0054953,44,-34.8386,-73.5956,Hydro,Boralex Hydro Operations Inc,U.S. Energy Information Administration
United States of America,Huerfano River Wind,USA0058548,8,-34.8386,-104.8322,Wind,Huerfano River Wind  LLC,U.S. Energy Information Administration
United States of America,Hugo,USA0006772,446,-34.8386,-95.3206,Coal,Western Farmers Elec Coop  Inc,U.S. Energy Information Administration
United States of America,Hugoton 2,USA0007011,19.2,-34.8386,-101.3401,Oil,City of Hugoton - KS,U.S. Energy Information Administration
United States of America,Hull Wind II,USA0056800,1.8,-34.8386,-70.8564,Wind,Hull Municipal Light Plant,U.S. Energy Information Administration
United States of America,Humboldt Bay,USA0000246,167,-34.8386,-124.2103,Gas,Pacific Gas & Electric Co.,U.S. Energy Information Administration
United States of America,Humboldt Sawmill Company,USA0050049,32.5,-34.8386,-124.1014,Waste,Mendocino Forest Products,U.S. Energy Information Administration
United States of America,Humpback Creek,USA0007042,1.2,-34.8386,-145.6794,Hydro,Cordova Electric Coop  Inc,U.S. Energy Information Administration
United States of America,Hungry Horse,USA0002203,428,-34.8386,-114.0144,Hydro,U S Bureau of Reclamation,U.S. Energy Information Administration
United States of America,Hunlock Power Station,USA0003176,145.9,-34.8386,-76.07,Gas,UGI Development Co,U.S. Energy Information Administration
United States of America,Hunlock Unit 4,USA0056397,44,-34.8386,-76.0683,Gas,Hunlock Energy  LLC,U.S. Energy Information Administration
United States of America,Hunt Farm Solar,USA0059820,3,-34.8386,-72.2997,Solar,Hunt Farm Solar LLC,U.S. Energy Information Administration
United States of America,Hunt Road Solar,USA0059927,4.5,-34.8386,-70.9602,Solar,Citizens Enterprises Corporation,U.S. Energy Information Administration
United States of America,Hunter,USA0006165,1577.2,-34.8386,-111.0289,Coal,PacifiCorp,U.S. Energy Information Administration
United States of America,Hunterdon Cogen Facility,USA0054707,4.1,-34.8386,-74.936,Gas,Hunterdon Cogeneration LP,U.S. Energy Information Administration
United States of America,Hunterstown,USA0003110,60,-34.8386,-77.1648,Oil,NRG REMA LLC,U.S. Energy Information Administration
United States of America,Hunterstown Power Plant,USA0055976,898,-34.8386,-77.1672,Gas,NRG Wholesale Generation LP,U.S. Energy Information Administration
