Teacher_Name,University_Currently_Teaching,Department,Province_University_Located,Designation,Terminal_Degree,Graduated_from,Country,Year,Area_of_Specialization,Other_Information,
Saba Rasheed Malik,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2009,Data mining   Business Intelligence   and Social Computing.,NINGUNA,NINGUNA
Shafiq-ur-Rehman,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,"Dresden University Of Technology, Dresden ",germany,2002,Human Computer Interaction   M-commerce   User Acceptance on IT and Requirement Engineering.,NINGUNA,NINGUNA
Shizra Sultan,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,2015,SINF,NINGUNA,NINGUNA
Arifa Sarwar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2012,SINF,NINGUNA,NINGUNA
Zeeshan Waheed,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"International Islamic University,Islamabad",Pakistan,2011,SINF,NINGUNA,NINGUNA
Abdul Samad,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"International Islamic University,Islamabad",Pakistan,2013,SINF,NINGUNA,NINGUNA
Ahmad Ali,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2013,SINF,NINGUNA,NINGUNA
Hareem-e-Sahar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2014,SINF,NINGUNA,NINGUNA
Hassan Raza,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"COMSATS Institute of Information Technology,Vehari",Pakistan,2016,SINF,NINGUNA,NINGUNA
Muhammad Zubair Farooqi,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"COMSATS Institute of Information Technology,Wah Cantt",Pakistan,2015,"Cognitive Radio Networks  Wireless sensor Networks  Internet of Things


",NINGUNA,NINGUNA
Sheryar Rashid,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,2012,SINF,NINGUNA,NINGUNA
Atique ur Rehman,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2015,SINF,NINGUNA,NINGUNA
Hina Zafar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BIT,National University of Sciences and Technology,Pakistan,2011,SINF,NINGUNA,NINGUNA
Ifrah Qaisar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,National University of Sciences and Technology,Pakistan,2015,SINF,NINGUNA,NINGUNA
Javaria Imtiaz,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"International Islamic University,Islamabad",Pakistan,2014,SINF,NINGUNA,NINGUNA
Muhammad Nauman,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,COMSATS Institute of Information Technology,Pakistan,2013,SINF,NINGUNA,NINGUNA
Rafia Rahim,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2014,SINF,NINGUNA,NINGUNA
